Disease,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diet,fitness
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pasta,white rice,white bread,sugar,fish,fruits,vegetables,whole grains,lean proteins.","regular physical exercise,swimming,cycling,running.."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lean proteins,whole grains,fruits,vegetables.","regular physiccal exercise,walking,good breathing."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lean meats,fish,eggs,dairy products,legumes,vitamins,minerals,limit intake of high fatty,avoiding alcohol.","walking,swimming,cycling."
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,nuts,meats,vitamins.","regular physical exercise,cycling,swimming,yoga."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,lean proteins,healthy fats,avoid alcohol.","swimming,biking,walking."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,lean proteins,omega-3 fatty acids in fish,salmon,mackerel.","physical regular exercise,swimming,cycling,walking,proper inhaled medication."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,omega-3 fatty acids,flaxseeds.","aerobic exercise,chin tucks,neck rotations and extensions,shoulder blade squeezes."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,vitamins,minerals,drinking plenty of water and non alcoholic fluids,avoiding alcohol and smoking.","mild exercise,avoiding scratching."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cool foods,non acids fruits and vegetables,soft foods.",having a good sleep and rest.
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avoiding cholestral foods,fibers,fruits and vegetables,drinking plenty of water.","regular physical exercise,running,jumping."
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,lean proteins,coconut,avoiding fatty acids,milk.","taking rest,walkling,yoga."
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,carbhohydrates,avoiding alcohol.",regular physical exercise.
Dimorphic hemmorhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,drinking plenty of water,avoiding foods that can cause gas and bloating.","kegel exercises,yoga."
Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"consuming well balanced diet,avoiding sugar drinks and alcohol.","meditation,regular physical activity,brisk walking."
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,avoid sugary drinks,carbhohydrates,proteins.","exercise regularly,avoid sweating,avoid contacting."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cooked fruits and vegetables,chicken,fish,tofu.","walking,strecthing,regular exercise."
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avoid eating at midnight,avoiding coffee,tea,fruits.","regular physical exercise,elevate the head."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,fats,carbhohydrates,minerals,vitamins,whole grains,milk.","brisk walking,cycling,swimming,regular physical exercise."
Hepatitis A,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eating balanced diet,drinking plenty of water,avois spicy foods.","moderate-intensity exercise,"
Hepatitis B,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,fish,chicken,tofu,drink plenty of water.","regular exercise,yoga,promoting relaxation."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eating balanced diet,drinking plenty of water,berries.","regular exercise,brisk walking,cycling."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eating balanced diet,avoid fatty acids,whole grains.","regular physical exercise,aerobic exercise."
Hepatitis E,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eating balanced diet,avoid alcohol,stay hydrated.","exercise regularly,get enough sleep."
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eating diet low in salt,food contain potassium,omega-3 fatty acids,",moderate-intensity exercise.
Hyperthyroidism,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"balanced diet,drinking plenty of water,avoid fats.","regular physical exercise,brisk walking,cycling,weightlifting,running."
Hypoglycemia, Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"carbhohydrates,proteins,vitamins,minerals,limit alcohol,avoid fats and sugar acids.",moderate-intensity exercise.
Hypothyroidism,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"balanced diet,drinking plenty of water,avoid goitrogens,fruits.",regular physical exercise.
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"balanced diet,high in vitamin C.","regular exercise,walking,cycling,swimming,moderate-intensity exercise."
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,fish and poultry,drink plenty of water,limit alcohol,vitamins and minerals.","regular exercise,cardiovascular exercise,yoga."
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"balanced diet,stay hydrated,avoid alcohol,carbhohydrates.","regular exercise,get enough sleep."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eat balanced diet,stay hydrated.","get enough sleep,exercise regularly."
Osteoarthristis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"omega-3 fatty acids,avoid sugar and fats,meats,poulty,fish,tofu,milk and eggs,beans,stay hydrated.","swimming,cycling,walking,motion exercises."
Paralysis(brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"vegetables,lean proteins,healthy fats,proteins.","regular exercise,adaptive exercise."
Peptic ulcer disease,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avoid spicy or fried and fatty foods,fruits,vegetables,avoid late eat at night.","regular exercise,low impact exercises,avoid high impact exercises."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,berries,leafy greens,nuts,adequate hydration,avoid fats and sugary foods.","rest,gentle exercise."
Psoriasis,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"berries,fatty fish,nuts,avoid fats and sugary acids,milk.","regular exercise,yoga and meditation."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"high proteins,consuming rich in vitamins and minerals,stay hydrated.","exercise regularly,moderate exercise,yoga and deep breath."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"consuming plenty of fluids,high in proteins,avoid fats and sugary acis,avoid spicy and fried foods.","stay active,yoga,meditation,walking."
Urinary tract infection,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"stay hydrated,fruits and vegetables.",regular exercise.
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"eat foods and sugar,diet high in fiber,stay hydrated.","regular exercise,walking,swimming,cycling."
(vertigo) Paroymsal Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avoid alcohol and caffeine,eating balanced diet,drink plenty of water.","vestibular rehabilitation,regular exercise,yoga and meditation."
